维护模式已关闭！,维护模式已关闭！
"指定 WLS 实例名；省略则向当前所有运行中的实例同步维护入口","指定 WLS 实例名；省略则向当前所有运行中的实例同步维护入口"
维护模式已开启！,维护模式已开启！
无效的请求方法,无效的请求方法
不支持的备份类型,不支持的备份类型
备份创建成功,备份创建成功
备份创建失败：%{1},备份创建失败：%{1}
无效的备份ID,无效的备份ID
备份文件不存在,备份文件不存在
下载失败：%{1},下载失败：%{1}
备份删除成功,备份删除成功
备份删除失败,备份删除失败
删除失败：%{1},删除失败：%{1}
维护模式自动备份任务,维护模式自动备份任务
定时执行系统备份任务（数据库和代码），自动清理过期备份,定时执行系统备份任务（数据库和代码），自动清理过期备份
Cron自动备份未启用,Cron自动备份未启用
未配置备份类型,未配置备份类型
%{1}备份成功,%{1}备份成功
%{1}备份失败：%{2},%{1}备份失败：%{2}
"清理过期备份：删除 %{1} 个备份，释放空间 %{2}","清理过期备份：删除 %{1} 个备份，释放空间 %{2}"
清理过期备份失败：%{1},清理过期备份失败：%{1}
自动备份任务执行失败：%{1},自动备份任务执行失败：%{1}
维护模式,维护模式
"在系统进入维护模式时触发，允许其他模块添加维护模式白名单URL。可以通过修改 white_urls 字段来添加白名单URL。","在系统进入维护模式时触发，允许其他模块添加维护模式白名单URL。可以通过修改 white_urls 字段来添加白名单URL。"
"WLS 维护入口已同步：%{1}","WLS 维护入口已同步：%{1}"
"WLS 维护入口同步未完全成功：%{1}","WLS 维护入口同步未完全成功：%{1}"
"WLS 维护入口同步失败：%{1}","WLS 维护入口同步失败：%{1}"
创建完整备份失败：%{1},创建完整备份失败：%{1}
数据库备份失败：%{1},数据库备份失败：%{1}
代码备份失败：%{1},代码备份失败：%{1}
配置文件备份失败：%{1},配置文件备份失败：%{1}
不支持的备份类型：%{1},不支持的备份类型：%{1}
无法创建备份文件：%{1},无法创建备份文件：%{1}
备份数据库失败：%{1},备份数据库失败：%{1}
获取数据库表列表失败：%{1},获取数据库表列表失败：%{1}
程序化备份失败：%{1},程序化备份失败：%{1}
无法创建备份压缩文件：%{1},无法创建备份压缩文件：%{1}
配置文件备份失败,配置文件备份失败
备份配置文件失败：%{1},备份配置文件失败：%{1}
无法创建压缩文件：%{1},无法创建压缩文件：%{1}
创建压缩文件失败,创建压缩文件失败
压缩文件失败：%{1},压缩文件失败：%{1}
备份文件不存在：%{1},备份文件不存在：%{1}
保存备份文件失败：%{1},保存备份文件失败：%{1}
创建备份,创建备份
备份设置,备份设置
备份类型,备份类型
完整备份（数据库+代码）,完整备份（数据库+代码）
数据库备份,数据库备份
代码备份,代码备份
配置文件备份,配置文件备份
创建备份可能需要几分钟时间，请耐心等待。,创建备份可能需要几分钟时间，请耐心等待。
返回列表,返回列表
创建中...,创建中...
创建备份失败,创建备份失败
备份管理,备份管理
备份ID,备份ID
备份名称,备份名称
文件大小,文件大小
状态,状态
创建时间,创建时间
操作,操作
暂无备份记录,暂无备份记录
下载,下载
删除,删除
完整备份,完整备份
已完成,已完成
进行中,进行中
失败,失败
确定要删除此备份吗？,确定要删除此备份吗？
操作失败,操作失败
网站维护,网站维护
系统升级维护中,系统升级维护中
网站正在维护中...,网站正在维护中...
请稍等片刻,请稍等片刻
系统会自动检测恢复状态，服务恢复后将自动刷新，无需反复点击刷新。,系统会自动检测恢复状态，服务恢复后将自动刷新，无需反复点击刷新。
为什么网站会处于维护模式？,为什么网站会处于维护模式？
网站可能发生系统升级事件，或者大多数的内容发生变化，程序员们正在维护或者升级数据以提供更加优质的服务。,网站可能发生系统升级事件，或者大多数的内容发生变化，程序员们正在维护或者升级数据以提供更加优质的服务。
多久能够恢复？,多久能够恢复？
大部分的网站升级活动都只有几分钟甚至几秒钟的时间。,大部分的网站升级活动都只有几分钟甚至几秒钟的时间。
需要帮助吗？,需要帮助吗？
如果你长期看到这个页面，对网站存在疑惑，请联系：,如果你长期看到这个页面，对网站存在疑惑，请联系：
返回首页,返回首页
